Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (%,Iron (% Daily Value)
120,13.0,20,5.0,25,0.0,260,87,750,31,31,10,4,17,3,17,10,0,25,15 Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value)
70,8.0,12,3.0,15,0.0,25,8,770,32,30,10,4,17,3,18,6,0,25,8,,
200,23.0,35,8.0,42,0.0,45,15,780,33,29,10,4,17,2,14,8,0,25,10,,
250,28.0,43,10.0,52,0.0,285,95,860,36,30,10,4,17,2,21,15,0,30,15,,
210,23.0,35,8.0,42,0.0,50,16,880,37,30,10,4,17,2,21,6,0,25,10,,
210,23.0,36,9.0,46,1.0,300,100,960,40,31,10,4,18,3,26,15,2,30,20,,
230,26.0,40,13.0,65,0.0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15,,
270,30.0,47,14.0,68,0.0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20,,
180,20.0,32,11.0,56,0.0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10,,
220,25.0,38,12.0,59,0.0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15,,
240,27.0,42,12.0,62,0.0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15,,
280,31.0,48,13.0,65,0.0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15,,
290,33.0,50,14.0,71,0.0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20,,
330,37.0,57,15.0,74,0.0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20,,
250,27.0,42,12.0,62,0.0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15,,
280,32.0,49,13.0,65,0.0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15,,
180,20.0,31,8.0,41,0.0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15,,
220,24.0,37,9.0,45,0.0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15,,
290,32.0,49,16.0,78,1.0,280,93,1470,61,38,13,2,8,3,25,10,2,20,25,,
190,21.0,32,9.0,44,0.0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15,,
140,15.0,24,7.0,34,0.0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10,,
200,22.0,34,8.0,40,0.0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10,,
280,31.0,48,12.0,61,0.0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15,,
